ID,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,LAST,OUTPUT
64,0,0,1,1,1,0,0,0,0,1,1,0
65,0,1,0,1,1,1,1,0,1,1,1,1
66,0,1,1,0,0,1,1,0,1,1,1,1
67,0,0,1,1,0,1,0,1,0,0,1,0
68,1,1,1,1,1,1,0,1,0,0,1,1
69,1,1,1,1,0,1,0,0,0,1,1,1
70,1,1,0,0,1,1,0,1,1,0,1,1
71,1,0,0,1,0,0,0,1,1,0,1,0
72,1,0,1,0,0,1,1,1,0,0,1,1
73,1,1,0,0,1,1,1,0,0,0,1,1
74,1,0,1,1,1,0,1,0,1,0,1,1
75,1,1,0,1,1,0,0,1,1,1,1,1
76,1,1,1,1,1,0,0,1,1,0,1,1
77,1,0,1,1,0,0,0,0,0,1,1,0
78,1,0,1,1,1,1,1,1,1,1,1,1
79,0,1,1,0,1,0,0,1,0,0,1,0
80,1,0,1,0,1,1,1,1,0,0,1,1
81,1,0,1,1,1,0,1,0,0,1,1,1
82,1,0,0,0,0,1,1,0,1,1,1,1
83,0,1,1,0,0,1,1,1,0,1,1,1
84,1,1,0,1,0,0,1,1,0,0,1,1
85,1,0,1,1,1,1,0,1,0,0,1,1
86,0,0,0,0,0,0,0,1,1,0,1,0
87,0,0,0,1,1,0,0,1,1,1,1,1
88,0,0,1,0,1,0,1,0,0,1,1,0
89,0,0,1,1,1,1,1,1,1,0,1,1
90,0,0,1,0,0,1,0,1,1,1,1,1
91,0,1,1,1,0,0,0,1,1,0,1,1
92,1,1,1,0,1,1,1,1,0,1,1,1
93,0,1,1,0,1,1,1,0,1,1,1,1
94,0,1,0,1,0,1,1,0,1,0,1,1
95,1,1,0,0,0,1,0,0,0,1,1,0
96,0,0,1,1,1,1,0,1,0,0,1,1
97,1,0,1,0,0,1,0,0,0,1,1,0
98,0,0,1,0,0,1,0,1,0,0,1,0
99,0,1,1,0,0,0,1,0,0,1,1,0
100,1,1,1,0,0,1,0,1,0,1,1,1
101,1,0,1,1,0,1,0,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1
103,1,0,0,1,1,1,0,1,1,1,1,1
104,1,0,0,0,1,1,1,0,0,1,1,1
105,1,0,0,1,1,0,0,0,1,1,1,1
106,0,1,1,0,0,0,0,1,0,1,1,0
107,1,0,0,0,1,0,0,1,0,0,1,0
108,1,0,1,1,0,0,0,0,0,0,1,0
109,1,1,1,0,1,1,0,1,0,1,1,1
110,1,0,0,1,1,0,1,1,0,0,1,1
111,0,1,1,0,1,0,0,0,0,0,1,0
112,0,1,1,0,0,0,1,0,1,1,1,1
113,1,1,1,0,1,1,0,1,1,1,1,1
114,1,1,0,0,1,1,1,0,1,0,1,1
115,0,1,1,1,1,1,0,0,1,1,1,1
116,1,1,1,0,0,1,1,0,0,0,1,1
117,1,1,1,1,0,0,0,1,1,1,1,1
118,0,1,1,1,1,0,0,0,0,1,1,1
119,0,1,1,1,1,0,1,1,0,0,1,1
120,1,1,1,0,0,1,0,0,1,1,1,1
121,0,0,1,0,0,1,0,1,1,0,1,0
122,0,0,0,0,0,1,0,1,0,0,1,0
123,0,1,1,0,1,1,1,1,1,0,1,1
124,1,0,0,0,1,1,1,1,1,0,1,1
125,1,1,1,1,0,1,0,1,1,1,1,1
126,0,1,0,0,0,1,1,0,0,0,1,0
127,0,0,1,0,1,1,1,0,1,1,1,1
128,0,0,0,1,0,1,1,1,1,0,1,1
129,0,0,0,0,0,0,0,0,1,0,1,0
130,0,1,0,0,1,0,0,0,1,0,1,0
131,1,0,1,1,0,1,0,0,0,1,1,1
132,1,1,0,1,1,0,0,0,0,1,1,1
133,1,0,0,1,0,0,1,1,1,0,1,1
134,0,1,1,0,0,1,0,1,0,1,1,1
135,1,1,1,0,0,1,0,1,1,0,1,1
136,0,1,1,1,1,1,1,1,1,0,1,1
137,1,0,0,1,1,0,1,0,0,0,1,0
138,0,1,0,0,1,0,1,0,0,0,1,0
139,1,0,0,1,1,1,1,1,0,0,1,1
140,1,1,1,0,1,0,1,1,0,0,1,1
141,0,1,0,0,1,0,1,1,0,0,1,0
142,0,0,1,0,0,0,0,0,0,1,1,0
143,0,0,1,0,0,1,1,1,0,1,1,1
144,0,0,0,1,0,1,1,1,0,0,1,0
145,1,1,0,0,0,0,0,1,0,1,1,0
146,1,1,1,1,1,0,1,0,0,1,1,1
147,1,0,0,0,1,0,0,0,0,0,1,0
148,0,0,1,1,0,1,0,0,1,0,1,0
149,0,1,1,1,1,1,1,0,0,1,1,1
150,0,1,1,1,1,1,1,1,0,0,1,1
151,0,0,1,1,1,1,1,0,1,0,1,1
152,0,0,1,1,0,0,0,1,1,0,1,0
153,1,0,0,1,0,1,0,1,1,1,1,1
154,0,1,0,1,1,0,0,0,0,1,1,0
155,0,0,0,0,1,1,1,1,1,0,1,1
156,1,0,0,1,1,1,0,0,1,0,1,1
157,0,1,0,1,1,0,1,0,0,1,1,1
158,1,0,0,1,0,1,1,1,0,1,1,1
159,1,1,0,0,0,1,0,0,0,0,1,0
160,0,1,1,0,1,0,0,0,1,0,1,0
161,0,1,1,0,0,1,1,1,0,0,1,1
162,1,0,1,1,0,0,1,0,0,1,1,1
163,0,0,1,1,0,0,1,0,1,0,1,0
164,1,0,0,1,0,0,0,1,0,0,1,0
165,1,1,0,0,1,1,1,0,1,1,1,1
166,0,1,1,1,0,1,0,1,0,1,1,1
167,0,0,1,0,0,0,0,1,0,1,1,0
168,1,0,0,1,0,1,0,1,1,0,1,1
169,0,0,0,1,1,1,1,1,0,1,1,1
170,1,1,0,1,1,1,0,1,1,1,1,1
171,0,0,0,1,0,1,1,0,0,1,1,0
172,1,1,1,0,0,1,1,1,0,0,1,1
173,0,1,0,0,0,1,1,0,1,0,1,0
174,0,1,0,0,0,0,1,0,0,0,1,0
175,0,1,1,0,1,1,0,0,0,1,1,1
176,1,0,0,1,0,1,1,1,1,0,1,1
177,0,0,1,1,1,0,1,1,0,1,1,1
178,1,0,0,0,1,0,0,1,1,1,1,1
179,1,1,0,1,1,0,0,1,0,1,1,1
180,1,1,1,1,0,0,1,0,0,1,1,1
181,0,0,1,1,1,1,0,0,1,1,1,1
182,1,1,0,0,1,0,1,1,1,0,1,1
183,1,0,0,1,0,1,0,1,0,0,1,0
184,1,1,1,0,1,0,1,0,1,1,1,1
185,1,0,1,0,1,1,0,1,1,0,1,1
186,1,1,1,1,1,0,1,0,1,0,1,1
187,1,0,0,0,1,1,0,1,1,1,1,1
188,1,0,0,0,0,0,1,1,1,1,1,1
189,1,0,0,0,0,1,1,1,1,0,1,1
190,0,1,1,0,0,1,0,1,0,0,1,0
191,1,1,0,1,0,0,1,0,1,0,1,1
192,1,0,1,0,0,0,0,0,0,0,1,0
193,1,0,0,0,1,1,1,1,0,0,1,1
194,0,0,0,1,0,1,0,0,0,0,1,0
195,1,1,0,0,0,1,1,1,1,1,1,1
196,0,0,1,0,1,0,1,1,0,1,1,1
197,1,0,1,0,1,1,0,0,0,0,1,0
198,1,1,1,0,0,0,0,1,1,1,1,1
199,1,0,0,0,0,1,1,0,0,0,1,0
200,0,0,0,1,0,0,1,1,0,0,1,0
201,1,1,1,0,0,0,0,0,1,1,1,1
202,1,1,0,0,0,0,1,0,0,0,1,0
203,1,0,1,1,1,1,1,0,0,0,1,1
204,1,0,1,1,0,1,1,0,1,0,1,1
205,1,1,1,0,0,1,1,1,1,0,1,1
206,1,0,1,1,1,1,0,1,1,0,1,1
207,1,0,0,1,1,0,1,1,1,1,1,1
208,1,1,1,1,1,1,1,0,1,1,1,1
209,0,1,0,0,0,1,1,0,1,1,1,1
210,0,0,0,0,1,0,1,1,1,0,1,0
211,1,1,0,1,0,0,0,1,1,1,1,1
212,0,0,1,1,1,1,0,1,1,0,1,1
213,0,0,1,1,0,1,0,0,1,1,1,1
214,1,1,1,1,0,1,0,0,1,1,1,1
215,1,1,1,0,1,0,1,1,0,1,1,1
216,1,1,1,0,0,0,1,1,1,1,1,1
217,1,0,1,0,1,0,0,1,1,0,1,1
218,1,1,0,0,0,0,0,1,1,0,1,0
219,0,1,0,1,1,1,1,1,1,1,1,1
220,0,1,0,1,0,0,0,0,0,0,1,0
221,0,0,0,0,0,1,1,1,0,1,1,0
222,1,0,1,0,0,1,0,1,0,0,1,0
223,1,0,1,0,1,0,0,1,1,1,1,1
224,1,0,0,1,0,1,1,0,1,1,1,1
225,1,1,1,1,1,1,0,0,0,1,1,1
226,1,0,1,1,1,1,0,0,0,0,1,1
227,0,0,0,0,1,1,0,0,1,1,1,0
228,0,1,1,0,1,0,1,1,1,0,1,1
229,0,1,1,0,0,0,0,0,1,1,1,0
230,0,1,1,1,0,1,0,1,1,0,1,1
231,1,0,0,0,1,1,0,0,0,0,1,0
232,0,0,1,0,0,1,1,0,1,0,1,0
233,1,1,0,0,0,1,1,1,1,0,1,1
234,0,1,0,1,1,1,1,1,0,0,1,1
235,1,1,0,1,0,0,0,1,0,1,1,1
236,0,1,0,1,0,1,1,1,0,0,1,1
237,0,0,0,0,0,1,0,1,0,1,1,0
238,0,1,0,1,0,1,1,1,0,1,1,1
239,0,1,0,1,1,0,1,0,1,0,1,1
240,1,0,1,0,1,1,0,1,0,1,1,1
241,0,1,1,0,0,0,1,1,1,1,1,1
242,0,0,0,0,0,0,1,1,0,1,1,0
243,0,1,0,0,1,1,0,0,1,0,1,0
244,1,0,0,0,0,0,0,1,1,0,1,0
245,1,0,0,1,1,0,0,1,1,1,1,1
246,0,1,0,1,0,0,1,0,1,1,1,1
247,1,0,1,0,0,0,1,0,1,1,1,1
248,0,0,1,0,1,1,0,1,0,1,1,1
249,0,1,0,0,0,1,1,1,0,1,1,1
250,1,0,0,0,1,0,1,0,0,0,1,0
251,1,0,0,0,1,1,0,0,0,1,1,0
252,0,0,0,1,1,0,0,0,0,0,1,0
253,0,0,0,0,1,0,1,1,1,1,1,1
254,0,0,1,1,1,0,1,0,0,1,1,1
255,1,1,1,1,0,1,0,0,1,0,1,1
256,0,1,1,0,0,1,1,0,0,1,1,1
257,1,1,1,0,1,1,1,0,0,1,1,1
258,1,0,1,0,0,1,1,1,0,1,1,1
259,0,0,0,0,0,0,0,1,0,1,1,0
260,1,0,0,1,1,0,0,1,0,0,1,0
261,1,1,1,1,0,0,1,0,0,0,1,1
262,1,0,1,1,0,1,0,0,1,1,1,1
263,0,0,1,1,1,1,1,1,1,1,1,1
264,0,1,1,0,0,0,1,1,0,1,1,1
265,1,1,1,0,0,1,1,0,0,1,1,1
266,0,0,1,0,0,0,1,1,1,0,1,0
267,1,1,0,0,1,0,0,0,0,0,1,0
268,0,1,1,1,1,0,1,0,0,1,1,1
269,1,1,0,1,0,0,0,1,1,0,1,1
270,1,0,0,1,1,1,1,0,0,1,1,1
271,0,0,0,1,1,1,1,0,1,1,1,1
272,0,1,1,1,0,1,1,0,1,0,1,1
273,0,1,1,0,1,1,1,0,0,1,1,1
274,1,0,1,0,1,0,1,0,0,1,1,1
275,0,0,0,0,1,1,0,0,0,0,1,0
276,1,0,0,0,0,0,0,1,0,1,1,0
277,1,1,1,0,0,0,0,1,0,1,1,1
278,0,0,0,0,1,1,0,1,1,1,1,1
279,1,0,0,0,0,0,1,1,1,0,1,0
280,0,0,0,1,1,0,0,1,0,0,1,0
281,0,0,1,1,0,0,1,0,0,0,1,0
282,0,0,1,0,1,1,0,0,1,1,1,1
283,1,1,1,0,1,1,0,1,1,0,1,1
284,1,0,0,1,1,0,1,0,0,1,1,1
285,1,1,0,0,1,0,1,1,1,1,1,1
286,0,1,0,1,1,0,0,1,1,1,1,1
287,1,0,0,1,1,1,1,0,1,0,1,1
288,1,1,1,1,0,1,1,0,0,1,1,1
289,0,0,0,1,0,1,0,0,1,0,1,0
290,1,1,1,0,1,0,0,0,1,0,1,1
291,0,0,0,0,0,1,1,1,0,0,1,0
292,0,0,1,0,1,0,1,1,1,1,1,1
293,0,1,1,0,1,0,0,0,1,1,1,1
294,0,1,1,1,1,0,0,1,1,0,1,1
295,0,0,0,0,1,0,0,0,0,1,1,0
296,0,1,1,0,0,1,0,0,1,1,1,1
297,1,0,1,1,0,1,1,0,1,1,1,1
298,0,1,1,1,0,0,0,1,0,0,1,0
299,0,0,0,0,1,0,0,1,0,0,1,0
300,0,0,1,1,1,0,1,1,1,1,1,1
301,1,0,1,1,1,0,0,1,0,0,1,1
302,0,0,1,0,1,1,1,1,1,0,1,1
303,1,1,1,1,0,0,1,1,1,1,1,1
304,0,0,0,1,0,0,1,0,0,0,1,0
305,1,1,1,0,0,0,0,1,1,0,1,1
306,0,1,1,1,0,0,1,1,1,0,1,1
307,0,1,1,1,1,1,0,1,1,1,1,1
308,0,0,0,1,1,0,1,0,1,1,1,1
309,1,1,0,1,0,0,0,0,1,0,1,0
310,1,0,1,0,0,0,1,1,1,0,1,1
311,0,0,1,1,1,1,0,1,0,1,1,1
312,0,1,1,1,1,1,0,0,1,0,1,1
313,0,0,1,1,0,0,0,1,0,0,1,0
314,0,1,0,1,1,1,0,0,1,1,1,1
315,0,0,1,1,1,0,0,0,1,1,1,1
316,1,1,1,1,0,0,0,0,0,0,1,0
317,0,0,1,0,0,0,0,0,1,1,1,0
318,0,0,1,1,0,1,1,1,1,0,1,1
319,0,1,1,0,1,1,0,1,0,0,1,1
320,0,1,0,1,1,1,0,0,1,0,1,1
321,0,1,1,1,1,1,1,1,0,1,1,1
322,0,1,1,1,0,1,1,0,0,0,1,1
323,0,0,1,1,0,0,0,0,1,0,1,0
324,1,1,0,0,0,1,0,1,1,0,1,1
325,1,1,1,1,0,1,1,1,0,0,1,1
326,1,1,1,1,0,1,1,0,0,0,1,1
327,1,1,0,0,0,0,1,1,0,1,1,1
328,0,1,1,0,1,1,0,1,1,1,1,1
329,1,0,0,1,0,1,0,0,1,0,1,0
330,0,0,0,1,0,0,0,1,1,0,1,0
331,1,0,1,0,1,1,1,1,0,1,1,1
332,0,1,1,0,1,1,0,0,1,1,1,1
333,1,0,1,1,1,0,1,1,1,0,1,1
334,0,0,0,1,1,0,0,0,1,1,1,0
335,0,0,0,0,0,0,0,1,1,1,1,0
336,0,1,0,1,0,1,1,1,1,0,1,1
337,1,1,1,0,0,1,1,0,1,1,1,1
338,0,1,1,0,0,1,0,0,1,0,1,0
339,1,1,0,0,1,1,0,0,1,0,1,1
340,0,1,0,1,1,0,1,1,1,1,1,1
341,1,0,1,1,1,0,1,0,1,1,1,1
342,1,1,0,1,1,1,0,0,1,0,1,1
343,0,1,1,0,0,1,1,1,1,0,1,1
344,1,0,1,0,0,1,0,1,0,1,1,1
345,1,0,1,0,1,1,1,1,1,0,1,1
346,1,0,0,0,1,0,1,1,0,1,1,1
347,0,0,0,0,0,0,0,0,1,1,1,0
348,1,0,0,0,0,1,0,0,1,1,1,0
349,1,1,0,0,1,0,0,0,0,1,1,0
350,0,0,0,1,0,0,1,1,0,1,1,0
351,1,1,1,0,1,0,1,1,1,1,1,1
352,1,1,0,1,0,0,1,0,1,1,1,1
353,0,0,0,1,1,0,0,1,0,1,1,0
354,0,0,0,0,1,0,0,0,1,1,1,0
355,1,0,1,1,1,0,1,1,1,1,1,1
356,0,1,1,0,0,0,0,0,0,0,1,0
357,0,1,1,0,0,0,0,1,1,1,1,1
358,1,1,0,0,1,0,1,1,0,0,1,1
359,0,1,0,0,1,1,0,1,0,0,1,0
360,0,1,1,1,1,0,0,1,0,1,1,1
361,1,0,0,0,0,1,1,1,1,1,1,1
362,0,1,1,0,1,1,1,1,0,1,1,1
363,0,1,0,1,0,1,0,1,0,0,1,0
364,0,0,0,1,0,1,0,0,0,1,1,0
365,1,0,0,0,0,0,1,0,1,1,1,0
366,0,0,1,0,1,1,1,1,1,1,1,1
367,1,1,1,1,0,0,1,0,1,0,1,1
368,0,0,0,1,0,0,0,0,0,0,1,0
369,0,1,0,1,0,0,0,0,0,1,1,0
370,0,1,0,1,0,1,0,0,0,1,1,0
371,1,0,0,1,0,0,1,0,1,0,1,0
372,0,1,0,0,0,0,0,1,0,0,1,0
373,0,1,0,0,0,0,1,0,1,1,1,0
374,1,1,1,0,0,0,1,1,0,1,1,1
375,1,0,1,0,0,0,1,1,0,1,1,1
376,1,0,0,1,0,0,0,1,0,1,1,0
377,1,1,1,1,0,1,1,1,1,1,1,1
378,1,1,0,1,1,1,0,1,0,0,1,1
379,0,0,0,0,1,1,1,0,0,0,1,0
380,0,1,1,0,1,0,1,1,0,1,1,1
381,1,0,1,0,1,1,0,0,1,0,1,1
382,1,0,0,1,0,0,0,0,0,0,1,0
383,1,1,1,1,0,1,0,1,0,1,1,1
384,0,1,1,1,0,1,1,1,1,1,1,1
385,1,1,1,0,1,0,1,0,1,0,1,1
386,1,0,0,1,0,0,0,0,1,1,1,0
387,0,0,0,0,0,0,0,0,0,1,1,0
388,0,0,1,1,0,1,1,0,0,1,1,1
389,0,1,1,1,1,0,0,0,1,0,1,1
390,1,1,1,0,0,0,0,0,1,0,1,0
391,0,1,1,0,1,1,1,0,0,0,1,1
392,0,0,1,1,0,0,1,0,1,1,1,1
393,1,1,0,1,0,0,0,0,0,0,1,0
394,0,0,1,0,1,1,1,0,0,1,1,1
395,1,0,0,0,0,1,0,0,1,0,1,0
396,0,1,0,1,0,0,1,1,1,1,1,1
397,1,1,1,0,1,0,0,1,0,0,1,1
398,1,1,1,0,0,0,1,0,1,1,1,1
399,0,0,1,0,0,1,1,0,0,0,1,0
400,1,0,1,1,1,1,1,1,0,1,1,1
401,1,1,0,0,0,1,1,0,0,0,1,0
402,0,0,1,0,1,0,1,0,1,0,1,0
403,1,0,1,1,0,1,0,0,1,0,1,1
404,0,1,1,1,0,1,1,0,1,1,1,1
405,0,0,1,1,0,1,1,1,1,1,1,1
406,1,0,1,1,1,1,1,0,1,0,1,1
407,1,0,1,1,1,0,1,1,0,0,1,1
408,0,0,1,1,1,1,1,0,1,1,1,1
409,1,1,1,0,1,0,0,0,0,0,1,0
410,0,1,1,0,0,0,1,0,1,0,1,0
411,0,0,1,1,0,0,0,1,1,1,1,1
412,0,0,1,1,1,1,1,0,0,1,1,1
413,1,1,0,0,0,1,1,0,1,0,1,1
414,0,1,1,1,1,0,0,0,0,0,1,0
415,0,1,0,1,0,1,0,1,1,0,1,1
416,0,0,0,0,0,1,1,0,1,1,1,0
417,1,0,0,0,0,0,0,0,0,0,1,0
418,1,0,0,0,0,1,1,1,0,0,1,0
419,1,1,1,0,0,1,0,0,0,0,1,0
420,1,0,1,0,0,1,0,0,1,1,1,1
421,0,1,0,0,1,1,0,1,1,0,1,1
422,1,0,0,1,1,1,0,1,1,0,1,1
423,1,1,0,1,0,0,1,0,0,1,1,1
424,1,0,0,0,1,1,0,1,1,0,1,1
425,0,1,0,0,1,0,1,1,1,1,1,1
426,0,1,0,1,0,0,0,0,1,1,1,0
427,0,0,0,0,0,1,0,0,0,0,1,0
428,1,0,0,1,0,0,0,0,0,1,1,0
429,1,1,0,1,1,0,0,0,1,0,1,1
430,0,1,0,1,0,1,0,1,0,1,1,1
431,1,0,0,0,1,0,0,1,1,0,1,0
432,1,0,1,1,0,0,0,1,1,0,1,1
433,0,1,0,1,0,1,1,0,0,0,1,0
434,0,0,1,1,0,1,1,1,0,0,1,1
435,0,1,1,0,1,1,0,1,0,1,1,1
436,1,1,1,0,1,0,1,0,0,1,1,1
437,1,0,1,1,1,0,1,0,0,0,1,1
438,0,1,0,0,1,0,1,0,1,0,1,0
439,0,1,0,1,1,1,1,0,0,0,1,1
440,0,0,1,0,1,1,1,1,0,1,1,1
441,0,0,0,1,1,1,1,0,0,0,1,0
442,1,1,1,1,1,0,0,0,1,1,1,1
443,0,1,0,0,1,1,0,0,0,1,1,0
444,0,1,1,1,0,0,1,0,1,1,1,1
445,0,0,0,1,1,0,1,1,1,1,1,1
446,1,1,0,1,0,1,0,0,0,1,1,1
447,0,0,0,1,1,0,0,0,0,1,1,0
448,0,1,0,0,1,0,1,1,1,0,1,1
449,0,0,0,1,1,1,1,1,0,0,1,1
450,1,0,1,0,1,1,0,1,1,1,1,1
451,1,1,0,1,0,0,1,1,1,0,1,1
452,0,0,1,0,0,0,1,1,0,1,1,0
453,0,1,1,1,1,0,0,1,1,1,1,1
454,1,1,0,0,0,0,1,0,0,1,1,0
455,1,1,0,1,1,1,0,0,1,1,1,1
456,1,0,1,1,1,1,0,0,0,1,1,1
457,0,0,0,1,1,1,0,1,0,0,1,0
458,1,0,1,1,0,1,1,1,0,0,1,1
459,0,0,0,0,0,1,0,1,1,0,1,0
460,0,0,1,1,0,0,1,1,1,1,1,1
461,1,0,1,0,1,1,0,0,1,1,1,1
462,0,1,1,0,0,1,0,0,0,1,1,0
463,1,1,1,1,1,0,0,0,0,0,1,1
464,0,0,1,0,1,1,1,0,0,0,1,0
465,0,1,0,1,0,0,1,1,0,0,1,0
466,1,0,0,1,1,1,1,0,1,1,1,1
467,0,0,1,0,0,1,0,0,1,1,1,0
468,0,0,1,0,0,1,1,1,0,0,1,0
469,0,1,0,0,1,0,0,0,0,0,1,0
470,1,0,0,1,0,1,1,1,1,1,1,1
471,1,0,1,0,0,1,1,1,1,1,1,1
472,0,1,1,0,1,1,1,1,1,1,1,1
473,0,0,1,0,1,0,0,0,1,0,1,0
474,1,1,1,0,1,0,0,0,1,1,1,1
475,1,0,0,0,0,1,0,1,0,0,1,0
476,0,1,1,1,1,0,0,0,1,1,1,1
477,0,0,1,1,1,0,1,0,1,0,1,1
478,0,0,0,0,0,1,1,0,1,0,1,0
479,1,0,0,0,1,0,1,0,0,1,1,0
480,1,0,0,0,1,0,1,1,1,1,1,1
481,1,0,1,1,1,0,1,1,0,1,1,1
482,1,0,0,0,1,1,1,1,1,1,1,1
483,1,0,1,1,0,1,0,1,0,0,1,1
484,1,1,1,1,0,0,0,1,0,0,1,1
485,0,1,1,1,0,0,1,1,1,1,1,1
486,1,1,0,1,1,0,0,1,1,0,1,1
487,0,0,1,1,1,0,1,0,1,1,1,1
488,0,0,1,0,0,1,0,0,0,1,1,0
489,0,1,0,0,0,0,1,0,0,1,1,0
490,0,1,0,1,0,0,1,0,1,0,1,0
491,0,0,1,1,0,0,1,1,0,1,1,1
492,0,0,1,0,0,0,1,1,0,0,1,0
493,0,1,1,1,0,0,0,0,0,0,1,0
494,1,0,0,0,0,0,0,1,1,1,1,0
495,1,1,1,1,1,1,1,0,0,1,1,1
496,1,0,1,1,1,0,0,1,0,1,1,1
497,1,1,0,0,0,1,1,1,0,0,1,1
498,0,0,0,0,0,1,0,0,1,1,1,0
499,0,1,0,1,0,1,1,0,0,1,1,1
500,0,1,1,1,1,1,1,1,1,1,1,1
501,0,0,0,1,1,0,0,0,1,0,1,0
502,0,1,1,1,0,0,1,1,0,1,1,1
503,1,1,0,1,1,0,0,0,0,0,1,0
504,1,0,0,0,1,0,0,0,1,0,1,0
505,0,1,0,0,0,0,0,1,0,1,1,0
506,0,0,0,0,1,1,1,0,1,0,1,0
507,0,1,0,1,1,0,1,1,0,1,1,1
508,1,0,1,0,1,0,0,0,0,0,1,0
509,1,1,1,1,1,0,1,1,1,1,1,1
510,1,1,0,0,0,1,0,0,1,0,1,0
511,0,1,1,1,0,0,1,1,0,0,1,1
512,1,0,0,0,1,0,0,0,0,1,1,0
513,0,1,1,0,0,1,1,0,1,0,1,1
514,1,0,1,1,0,0,0,1,0,1,1,1
515,0,1,0,0,0,0,1,0,1,0,1,0
516,0,0,1,1,1,1,1,0,0,0,1,1
517,0,1,0,0,0,1,0,0,1,1,1,0
518,0,0,1,0,0,1,1,1,1,1,1,1
519,0,1,1,1,0,1,1,1,0,0,1,1
520,1,1,0,0,0,1,1,0,0,1,1,1
521,0,1,1,0,1,1,1,0,1,0,1,1
522,0,1,0,1,1,1,0,0,0,1,1,1
523,0,1,0,1,1,0,0,1,1,0,1,1
524,0,0,1,1,1,0,0,0,0,0,1,0
525,1,0,1,1,1,1,1,0,1,1,1,1
526,0,0,0,0,1,0,1,0,1,1,1,0
527,1,0,1,1,0,0,0,1,0,0,1,0
528,0,1,0,0,1,0,1,1,0,1,1,1
529,0,1,0,0,1,1,1,0,0,1,1,1
530,1,0,0,1,1,1,0,0,0,1,1,1
531,1,1,1,0,0,0,0,0,0,0,1,0
532,0,0,1,1,1,1,0,0,0,0,1,0
533,1,1,0,0,1,1,0,1,0,0,1,1
534,0,1,0,1,0,0,0,1,0,1,1,0
535,0,0,0,1,1,0,1,1,0,1,1,1
